id,length,name,genre
3812,2268,Newton Faulkner,Pop/Rock
4708,2267,Katy Perry,Pop/Rock
3229,2263,Saving Abel,Pop/Rock
3822,2262,Corinne Bailey Rae,R&B;
2634,2260,Matt Nathanson,Pop/Rock
4493,2259,Grizzly Bear,Pop/Rock
5410,2258,Pham,Electronic
5524,2258,Little May,Pop/Rock
5156,2257,Forever the Sickest Kids,Pop/Rock
5246,2257,Daya,Pop/Rock
1144,2256,Fefe Dobson,Pop/Rock
5127,2256,Beirut,Pop/Rock
2186,2255,Joss Stone,Pop/Rock
3818,2255,We the Kings,Pop/Rock
2809,2254,CSS,Pop/Rock
4861,2254,Mayday Parade,Pop/Rock
5393,2254,Skylar Grey,Pop/Rock
1810,2252,Jason Mraz,Pop/Rock
600,2250,Circa Survive,Pop/Rock
5325,2249,Two Door Cinema Club,Pop/Rock
3956,2248,Sia,Pop/Rock
4717,2248,Nelly Furtado,Pop/Rock
3823,2246,All Time Low,Pop/Rock
4071,2246,The Horrors,Pop/Rock
5321,2245,Hot Chelle Rae,Pop/Rock
5397,2244,Feed Me,Electronic
5513,2244,Big Data,Pop/Rock
832,2243,The Kills,Pop/Rock
2597,2243,Natalie Imbruglia,Pop/Rock
3189,2243,Hot Chip,Pop/Rock
3670,2243,The Cribs,Pop/Rock
4760,2243,Deadmau5,Electronic
5185,2243,Never Shout Never,Pop/Rock
5129,2240,The Wonder Years,Pop/Rock
5162,2240,The Ting Tings,Pop/Rock
5174,2240,Friendly Fires,Pop/Rock
1715,2238,Tycho,Electronic
4224,2238,Evanescence,Pop/Rock
2667,2237,Be Your Own Pet,Pop/Rock
3441,2237,Metro Station,Pop/Rock
4714,2237,Rachael Yamagata,Pop/Rock
5455,2237,The 1975,Pop/Rock
5463,2237,Crown the Empire,Pop/Rock
3803,2236,Portugal. The Man,Pop/Rock
4853,2236,Alice Smith,R&B;
3493,2235,Joshua Radin,Pop/Rock
3597,2235,Cute Is What We Aim For,Pop/Rock
3749,2235,Yeah Yeah Yeahs,Pop/Rock
5105,2235,Dave Barnes,Pop/Rock
3646,2234,Gorillaz,Pop/Rock
5205,2234,La Roux,Pop/Rock
5324,2234,Toro y Moi,Pop/Rock
5451,2233,Atlas Genius,Pop/Rock
3424,2232,Caribou,Pop/Rock
5496,2232,Vance Joy,Pop/Rock
3639,2231,Bon Iver,Pop/Rock
3797,2231,Zero 7,Electronic
5358,2231,Baths,Electronic
5300,2230,Imagine Dragons,Pop/Rock
5390,2230,Kimbra,Pop/Rock
5296,2229,Local Natives,Pop/Rock
5364,2229,Perfume Genius,Pop/Rock
5509,2229,MisterWives,Pop/Rock
5166,2228,Beach House,Pop/Rock
5320,2228,Fun.,Pop/Rock
2850,2227,Klaxons,Pop/Rock
3958,2227,Sigur RÃ³s,Pop/Rock
1787,2226,Dido,Pop/Rock
3302,2226,Sufjan Stevens,Pop/Rock
4208,2226,Joanna Newsom,Pop/Rock
4949,2226,Armor for Sleep,Pop/Rock
4999,2226,Broadcast,Electronic
5181,2226,El Guincho,Pop/Rock
1540,2225,Finch,Pop/Rock
2361,2225,Panic! At the Disco,Pop/Rock
4779,2225,Relient K,Pop/Rock
5028,2225,Calexico,Pop/Rock
1000,2224,Cartel,Pop/Rock
1545,2224,Arcade Fire,Pop/Rock
5154,2224,Little Dragon,Electronic
5318,2224,Florence + the Machine,Pop/Rock
500,2223,The Faint,Pop/Rock
1934,2223,Lemon Jelly,Electronic
3394,2223,Taken by Trees,Pop/Rock
3955,2223,The All-American Rejects,Pop/Rock
4165,2223,Hellogoodbye,Pop/Rock
5074,2223,Goldfrapp,Pop/Rock
5332,2223,Grimes,Pop/Rock
2617,2222,Metric,Pop/Rock
2713,2222,Ratatat,Pop/Rock
2940,2222,The Rapture,Electronic
3811,2222,Born of Osiris,Pop/Rock
1427,2221,Franz Ferdinand,Pop/Rock
2380,2221,Jem,Pop/Rock
3210,2221,Colbie Caillat,Pop/Rock
4280,2221,Diplo,Electronic
5360,2221,JÃ³nsi,Pop/Rock
5508,2221,Meg Myers,Pop/Rock
1451,2220,M83,Pop/Rock
2637,2220,Regina Spektor,Pop/Rock
3380,2220,Morcheeba,Electronic
4436,2220,MÃºm,Electronic
4854,2220,Bat for Lashes,Pop/Rock
787,2219,Imogen Heap,Pop/Rock
4177,2219,Ladytron,Electronic
1908,2218,Mark Ronson,Pop/Rock
3158,2218,Daniel Powter,Pop/Rock
4178,2218,Aqualung,Pop/Rock
3540,2217,Atlas Sound,Pop/Rock
3569,2217,Camera Obscura,Pop/Rock
5295,2217,Fever Ray,Electronic
5317,2217,Rend Collective,Religious
831,2216,Cornelius,Pop/Rock
3657,2216,The Knife,Pop/Rock
4093,2216,Kid Koala,Electronic
4909,2216,MUTEMATH,Pop/Rock
5173,2216,White Lies,Pop/Rock
437,2215,Switchfoot,Pop/Rock
438,2215,Simple Plan,Pop/Rock
794,2215,Interpol,Pop/Rock
3133,2215,Flyleaf,Pop/Rock
189,2214,Tegan and Sara,Pop/Rock
1665,2214,Chantal Kreviazuk,Easy Listening
3579,2214,Yeasayer,Pop/Rock
5471,2214,Niagara,Pop/Rock
163,2213,...And You Will Know Us by the Trail of Dead,Pop/Rock
1625,2213,Garbage,Pop/Rock
4873,2213,Animal Collective,Pop/Rock
5434,2213,Electric Guest,Pop/Rock
399,2212,The Mars Volta,Pop/Rock
1044,2212,Lamb,Electronic
2729,2212,Meredith Brooks,Pop/Rock
4291,2212,CocoRosie,Pop/Rock
237,2211,Sleeping at Last,Pop/Rock
243,2211,Sneaker Pimps,Pop/Rock
409,2211,Blonde Redhead,Pop/Rock
3804,2211,Ane Brun,Pop/Rock
5464,2211,Foxes,Pop/Rock
1460,2210,Elisa,Pop/Rock
4095,2210,BjÃ¶rk,Pop/Rock
4964,2210,Alanis Morissette,Pop/Rock
1368,2209,Feist,Pop/Rock
1838,2209,Joseph Arthur,Pop/Rock
3267,2208,St. Vincent,Pop/Rock
1397,2207,Fiona Apple,Pop/Rock
5460,2204,John Newman,R&B;
4720,2203,Brett Dennen,Pop/Rock
3830,2202,The Antlers,Pop/Rock
821,2200,Hawthorne Heights,Pop/Rock
1226,2200,Anthony Green,Pop/Rock
5371,2197,Nick Jonas,Pop/Rock
1919,2196,John Mayer,Pop/Rock
2873,2191,Madina Lake,Pop/Rock
5148,2191,The White Tie Affair,Pop/Rock
3262,2190,Paolo Nutini,Pop/Rock
3663,2189,Damien Rice,Folk
1454,2185,Disturbed,Pop/Rock
2092,2184,Amos Lee,Pop/Rock
3141,2183,Bring Me the Horizon,Pop/Rock
5482,2183,Moose Blood,Pop/Rock
5131,2181,The Red Jumpsuit Apparatus,Pop/Rock
5255,2179,Asking Alexandria,Pop/Rock
3769,2178,Yellowcard,Pop/Rock
4740,2178,JosÃ© GonzÃ¡lez,Pop/Rock
1412,2177,Fall Out Boy,Pop/Rock
1247,2175,Bayside,Pop/Rock
2900,2174,Dance Gavin Dance,Pop/Rock
4901,2174,Escape the Fate,Pop/Rock
755,2173,Hawk Nelson,Pop/Rock
2086,2173,Lifehouse,Pop/Rock
2439,2172,Hollywood Undead,Pop/Rock
5103,2172,Alter Bridge,Pop/Rock
5343,2172,Of Mice & Men,Pop/Rock
733,2171,Ill NiÃ±o,Pop/Rock
927,2171,Crazy Town,Pop/Rock
1366,2170,Eagle-Eye Cherry,Pop/Rock
75,2169,Taproot,Pop/Rock
3506,2169,Stone Sour,Pop/Rock
4837,2169,(hed) p.e.,Pop/Rock
3352,2168,Third Day,Religious
3808,2168,Gojira,Pop/Rock
4831,2168,Otep,Pop/Rock
5475,2168,Upchurch,Country
1802,2167,Uncle Kracker,Pop/Rock
3676,2167,Jack's Mannequin,Pop/Rock
3850,2167,Alien Ant Farm,Pop/Rock
3918,2167,Slipknot,Pop/Rock
4700,2167,Pulse Ultra,Pop/Rock
60,2166,Papa Roach,Pop/Rock
217,2166,Skindred,Pop/Rock
1380,2166,Drowning Pool,Pop/Rock
2299,2166,Puddle of Mudd,Pop/Rock
3331,2166,The Dangerous Summer,Pop/Rock
3498,2166,Seether,Pop/Rock
4330,2166,Finger Eleven,Pop/Rock
737,2165,Kid Rock,Pop/Rock
2415,2164,10 Years,Pop/Rock
3442,2164,Four Year Strong,Pop/Rock
5223,2164,Sheppard,Pop/Rock
1292,2162,Taking Back Sunday,Pop/Rock
5486,2162,Real Friends,Pop/Rock
66,2161,Senses Fail,Pop/Rock
763,2161,Chevelle,Pop/Rock
934,2158,Citizen Cope,Pop/Rock
2929,2158,The Starting Line,Pop/Rock
536,2157,The Receiving End of Sirens,Pop/Rock
1660,2157,Halifax,Pop/Rock
2663,2157,James Blunt,Pop/Rock
3222,2157,Daughtry,Pop/Rock
3103,2156,My Chemical Romance,Pop/Rock
4479,2154,Hinder,Pop/Rock
5293,2153,One OK Rock,Pop/Rock
1891,2152,Howie Day,Pop/Rock
2404,2152,New Found Glory,Pop/Rock
3652,2152,Good Charlotte,Pop/Rock
4769,2152,O.A.R.,Pop/Rock
5510,2152,Starset,Pop/Rock
343,2151,Snow Patrol,Pop/Rock
2500,2150,Plumb,Pop/Rock
3358,2150,Theory of a Deadman,Pop/Rock
4908,2149,3 Doors Down,Pop/Rock
1457,2147,Rise Against,Pop/Rock
4309,2147,Five for Fighting,Pop/Rock
5165,2147,Rev Theory,Pop/Rock
239,2146,Shinedown,Pop/Rock
358,2146,The Ataris,Pop/Rock
2824,2146,Okkervil River,Pop/Rock
4511,2146,Hoobastank,Pop/Rock
2604,2145,Brandi Carlile,Pop/Rock
1725,2144,DeVotchKa,Pop/Rock
2928,2144,Thirty Seconds to Mars,Pop/Rock
5139,2144,From Autumn to Ashes,Pop/Rock
5227,2144,Passenger,Pop/Rock
5386,2144,Jamie Lawson,Pop/Rock
350,2143,Alkaline Trio,Pop/Rock
886,2143,Cold,Pop/Rock
4730,2143,Bullet for My Valentine,Pop/Rock
4980,2143,Breaking Benjamin,Pop/Rock
427,2142,Silverchair,Pop/Rock
1961,2142,Juanes,Latin
3015,2142,Adema,Pop/Rock
3134,2141,Buckcherry,Pop/Rock
1937,2140,Saliva,Pop/Rock
3908,2140,Skillet,Religious
2975,2139,Three Days Grace,Pop/Rock
1488,2138,Staind,Pop/Rock
4029,2138,Blue October,Pop/Rock
1070,2137,Crossfade,Pop/Rock
1224,2137,Eve 6,Pop/Rock
2141,2137,Josh Kelley,Pop/Rock
3167,2137,Cold War Kids,Pop/Rock
4293,2137,Fenix TX,Pop/Rock
2560,2136,Kasabian,Pop/Rock
3651,2136,Godsmack,Pop/Rock
3853,2136,Tantric,Pop/Rock
3940,2136,Smile Empty Soul,Pop/Rock
4377,2136,Doves,Pop/Rock
4748,2136,Nickelback,Pop/Rock
46,2135,Semisonic,Pop/Rock
2216,2135,Richard Ashcroft,Pop/Rock
4195,2135,Creed,Pop/Rock
5183,2135,The Script,Pop/Rock
24,2134,Alexisonfire,Pop/Rock
4685,2134,Powderfinger,Pop/Rock
5309,2134,The Temper Trap,Pop/Rock
3080,2133,Muse,Pop/Rock
4127,2133,Nicole Scherzinger,Pop/Rock
4594,2133,Lit,Pop/Rock
4934,2133,Third Eye Blind,Pop/Rock
5251,2133,Brett Young,Country
5472,2133,Echosmith,Pop/Rock
98,2132,American Hi-Fi,Pop/Rock
1291,2132,Gavin DeGraw,Pop/Rock
1885,2132,Days of the New,Pop/Rock
3681,2132,The Killers,Pop/Rock
4382,2132,Vertical Horizon,Pop/Rock
4699,2132,Keane,Pop/Rock
308,2131,Paw,Pop/Rock
1254,2131,Everclear,Pop/Rock
1282,2131,Sponge,Pop/Rock
1871,2131,Local H,Pop/Rock
2079,2131,Life of Agony,Pop/Rock
2915,2131,The Verve Pipe,Pop/Rock
3032,2131,12 Stones,Pop/Rock
3254,2131,Marcy Playground,Pop/Rock
3364,2131,Acceptance,Pop/Rock
3983,2131,Silversun Pickups,Pop/Rock
4780,2131,Revis,Pop/Rock
5035,2131,Guster,Pop/Rock
5058,2131,Goldrush,Pop/Rock
5145,2131,Fuel,Pop/Rock
5149,2131,Justin Nozuka,Pop/Rock
5282,2131,Elevation Worship,Religious
5327,2131,Boyce Avenue,Pop/Rock
110,2130,Travis,Pop/Rock
335,2130,Pearl Jam,Pop/Rock
880,2130,Collective Soul,Pop/Rock
1929,2130,Jeff Buckley,Pop/Rock
2085,2130,Hootie & the Blowfish,Pop/Rock
2627,2130,Matchbox Twenty,Pop/Rock
2974,2130,Our Lady Peace,Pop/Rock
3156,2130,Candlebox,Pop/Rock
3504,2130,Stone Temple Pilots,Pop/Rock
3558,2130,Bush,Pop/Rock
3865,2130,Seven Mary Three,Pop/Rock
3874,2130,Train,Pop/Rock
4001,2130,Better Than Ezra,Pop/Rock
4136,2130,Chris Cornell,Pop/Rock
4142,2130,Coldplay,Pop/Rock
4711,2130,The Fray,Pop/Rock
4857,2130,Hurt,Pop/Rock
4989,2130,Tonic,Pop/Rock
5353,2121,Twenty One Pilots,Pop/Rock
3814,2110,Donavon Frankenreiter,Pop/Rock
3370,2105,Motion City Soundtrack,Pop/Rock
5439,2101,Alt-J,Pop/Rock
3122,2098,Mystery Jets,Pop/Rock
4016,2097,Great Lake Swimmers,Pop/Rock
1778,2075,Rilo Kiley,Pop/Rock
5310,2072,Laura Marling,Pop/Rock
2650,2070,Mason Jennings,Pop/Rock
2032,2065,The Academy Is...,Pop/Rock
3923,2059,ThalÃ­a,Latin
5425,2055,Alabama Shakes,Pop/Rock
1789,2053,M. Ward,Pop/Rock
2857,2052,The National,Pop/Rock
2506,2049,Plain White T's,Pop/Rock
3644,2048,Missy Higgins,Pop/Rock
5521,2043,Jessie James Decker,Country
3535,2041,Danity Kane,R&B;
5163,2040,The War on Drugs,Pop/Rock
2129,2037,Mario,R&B;
2054,2036,Say Anything,Pop/Rock
5055,2035,Girls,Pop/Rock
5395,2035,Absofacto,Pop/Rock
2772,2034,The Shins,Pop/Rock
5150,2033,Fleet Foxes,Pop/Rock
3104,2031,My Morning Jacket,Pop/Rock
5380,2028,Big Time Rush,Pop/Rock
3205,2026,Rogue Wave,Pop/Rock
3336,2025,Los Campesinos!,Pop/Rock
2656,2022,OK Go,Pop/Rock
4829,2022,Band of Horses,Pop/Rock
5370,2022,Sam Smith,Pop/Rock
5403,2022,Sam Hunt,Country
3469,2018,Bright Eyes,Pop/Rock
5438,2018,Wild Party,Pop/Rock
5335,2017,Sky Ferreira,Pop/Rock
5158,2016,Lady Gaga,Pop/Rock
175,2015,Slightly Stoopid,Pop/Rock
665,2015,Kesha,Pop/Rock
3217,2015,Kat DeLuna,Pop/Rock
1890,2014,Josh Ritter,Pop/Rock
888,2013,Colby O'Donis,R&B;
989,2013,Jack Johnson,Pop/Rock
714,2005,Iron and Wine,Pop/Rock
3241,2005,Angels & Airwaves,Pop/Rock
5180,2005,STRFKR,Pop/Rock
3139,2004,MGMT,Pop/Rock
3269,2004,Dashboard Confessional,Pop/Rock
5303,2004,Sleigh Bells,Pop/Rock
3621,2003,Grandaddy,Pop/Rock
5495,2002,The Interrupters,Pop/Rock
4279,2001,Keren Ann,Pop/Rock
2757,1999,The Expendables,Pop/Rock
5511,1996,Magic!,Pop/Rock
5202,1994,Cage the Elephant,Pop/Rock
5467,1993,Timeflies,Electronic
585,1991,Gossip,Pop/Rock
6,1990,t.A.T.u.,Pop/Rock
3183,1989,The Wreckers,Country
3819,1989,Jordin Sparks,R&B;
3943,1987,Something Corporate,Pop/Rock
2668,1984,Zac Brown,Country
3800,1983,Brandon Heath,Religious
5388,1983,Young the Giant,Pop/Rock
5452,1983,Florida Georgia Line,Country
5501,1983,SoMo,Pop/Rock
5413,1982,The Districts,Pop/Rock
5522,1982,Anthony Lewis,R&B;
2096,1981,Chris Brown,R&B;
2193,1981,Jessica Simpson,Pop/Rock
4366,1981,Dream,Pop/Rock
4643,1981,Clap Your Hands Say Yeah,Pop/Rock
375,1979,The Beta Band,Pop/Rock
5093,1979,Marah,Pop/Rock
5164,1979,Karina,R&B;
5426,1978,3LAU,Electronic
5453,1977,Dallas Smith,Country
5328,1976,Justin Bieber,Pop/Rock
5414,1976,Pistol Annies,Country
415,1975,Blake Shelton,Country
1352,1975,Stacie Orrico,Religious
5039,1975,Calvin Harris,Electronic
482,1973,B*Witched,Pop/Rock
5341,1971,The Band Perry,Country
5381,1971,Mindless Behavior,R&B;
4418,1970,Ryan Adams,Pop/Rock
4447,1970,Death Cab for Cutie,Pop/Rock
5053,1970,Gomez,Pop/Rock
709,1968,Kele,Pop/Rock
1793,1968,Umphrey's McGee,Pop/Rock
5289,1968,Teyana Taylor,R&B;
3047,1967,Miranda Lambert,Country
4172,1967,LCD Soundsystem,Pop/Rock
3247,1965,Taio Cruz,Pop/Rock
3576,1965,Jason Derulo,Pop/Rock
2330,1964,Justin Timberlake,Pop/Rock
3111,1964,Camila,Latin
274,1963,Anastacia,Pop/Rock
287,1963,Sophie Ellis-Bextor,Pop/Rock
684,1963,Keith Urban,Country
3553,1963,Shiny Toy Guns,Electronic
5407,1963,Jana Kramer,Country
2207,1962,Robyn,Pop/Rock
2851,1962,Taylor Swift,Pop/Rock
3743,1962,Xavier Rudd,Pop/Rock
3821,1960,Kellie Pickler,Country
4715,1960,Carrie Underwood,Country
71,1958,SHeDAISY,Country
1382,1958,Ben Kweller,Pop/Rock
5288,1958,William Michael Morgan,Country
2876,1957,3LW,Pop/Rock
3806,1957,Hannah Montana,Pop/Rock
5506,1957,Phoebe Ryan,Pop/Rock
112,1956,Shawn Mullins,Pop/Rock
3511,1956,Britney Spears,Pop/Rock
4532,1956,Dierks Bentley,Country
5461,1956,Becky G,Pop/Rock
2187,1955,Play,Pop/Rock
2360,1954,Jennifer Lopez,Pop/Rock
5214,1954,Laura Bell Bundy,Pop/Rock
2362,1951,Jason Aldean,Country
3209,1951,Lily Allen,Pop/Rock
3786,1950,Ryan Cabrera,Pop/Rock
1613,1949,Cassie,R&B;
3824,1949,Enrique Iglesias,Latin
769,1948,Keyshia Cole,R&B;
5171,1948,Crystal Shawanda,Country
424,1947,Silverstein,Pop/Rock
2184,1947,Jessica Andrews,Country
5518,1944,Mickey Guyton,Country
4140,1943,The Futureheads,Pop/Rock
2001,1942,Julie Roberts,Country
2145,1942,Josh Turner,Country
2922,1942,Sugarland,Country
4745,1942,Rascal Flatts,Country
1324,1940,Dixie Chicks,Country
979,1938,LeAnn Rimes,Country
1990,1938,Sara Evans,Country
3432,1937,Atomic Kitten,Pop/Rock
4173,1935,Christina Aguilera,Pop/Rock
1684,1934,Westlife,Pop/Rock
2622,1934,Chiodos,Pop/Rock
4412,1934,Jamie O'Neal,Country
4915,1934,Aaron Carter,Pop/Rock
516,1932,The Coral,Pop/Rock
2122,1932,S Club 7,Pop/Rock
3736,1932,Marc Broussard,Pop/Rock
5189,1932,LMFAO,Pop/Rock
1107,1931,Jo Dee Messina,Country
1468,1931,August Burns Red,Pop/Rock
3007,1931,Mindy McCready,Country
1749,1928,UnderÃ¸ath,Pop/Rock
1833,1928,Bloc Party,Pop/Rock
2291,1928,Saves the Day,Pop/Rock
2810,1926,The Weepies,Pop/Rock
4203,1926,The Donnas,Pop/Rock
3311,1925,The Subways,Pop/Rock
752,1924,Chely Wright,Country
3341,1924,Yonder Mountain String Band,Country
5489,1924,Chastity Belt,Pop/Rock
226,1923,Sleater-Kinney,Pop/Rock
3035,1923,Against Me!,Pop/Rock
5298,1923,Broken Bells,Pop/Rock
5322,1923,The Civil Wars,Pop/Rock
2581,1921,Martina McBride,Country
4856,1920,Gnarls Barkley,R&B;
5194,1920,The Lonely Island,Comedy/Spoken
1679,1919,Drive-By Truckers,Pop/Rock
2697,1919,Nickel Creek,Country
3090,1919,*NSYNC,Pop/Rock
4060,1914,Backstreet Boys,Pop/Rock
812,1913,Kittie,Pop/Rock
4963,1913,Kaiser Chiefs,Pop/Rock
1940,1912,Razorlight,Pop/Rock
2478,1912,Pinback,Pop/Rock
5487,1912,Adrian Marcel,R&B;
847,1911,The Pussycat Dolls,Pop/Rock
5182,1911,Hey Monday,Pop/Rock
3507,1910,Amy Winehouse,R&B;
824,1909,Jack Ingram,Country
4879,1909,A Static Lullaby,Pop/Rock
2502,1908,Rebecca Lynn Howard,Country
4108,1908,Black Rebel Motorcycle Club,Pop/Rock
5408,1908,Scotty McCreery,Country
77,1907,Spin Doctors,Pop/Rock
2458,1907,CÃ©u,Latin
3359,1907,Thursday,Pop/Rock
452,1906,The Lost Trailers,Country
1219,1906,Clay Aiken,Pop/Rock
1969,1906,Devendra Banhart,Pop/Rock
5269,1906,Mike Posner,Pop/Rock
5423,1906,Elle Varner,R&B;
297,1905,Andy Griggs,Country
3721,1905,Day26,R&B;
5406,1905,Tyler Farr,Country
1624,1904,Lee Ann Womack,Country
5304,1904,The Summer Set,Pop/Rock
319,1903,Steve Miller Band,Pop/Rock
1529,1903,Emerson Drive,Country
2152,1903,Lila McCann,Country
2871,1903,Mika,Pop/Rock
4672,1903,Jimmy Eat World,Pop/Rock
183,1902,Trick Pony,Country
1118,1902,Elbow,Pop/Rock
1323,1902,Faith Hill,Country
5366,1902,Black Veil Brides,Pop/Rock
5010,1901,Bryan White,Country
3527,1900,Eric Church,Country
65,1899,Sparklehorse,Pop/Rock
3619,1899,Gary Allan,Country
3905,1899,Anberlin,Pop/Rock
4932,1899,Montgomery Gentry,Country
5504,1899,Neck Deep,Pop/Rock
2060,1898,Little Big Town,Country
2162,1898,Lonestar,Country
2902,1898,Midtown,Pop/Rock
3728,1897,Darryl Worley,Country
5096,1897,Darius Rucker,Country
5365,1897,Logan Mize,Country
82,1896,Tracy Byrd,Country
94,1896,Trace Adkins,Country
668,1896,Billy Gilman,Pop/Rock
919,1896,Courtney Love,Pop/Rock
4596,1896,Sawyer Brown,Country
5234,1896,Jerrod Niemann,Country
636,1895,Billy Ray Cyrus,Country
686,1895,Billy Currington,Country
1681,1895,Ty Herndon,Country
2272,1895,Sammy Kershaw,Country
2672,1895,Restless Heart,Country
3260,1895,Daryle Singletary,Country
3326,1895,Sum 41,Pop/Rock
3913,1895,Terri Clark,Country
4389,1895,Veruca Salt,Pop/Rock
4900,1895,Sugababes,Pop/Rock
5006,1895,A Day to Remember,Pop/Rock
969,1894,Clay Walker,Country
983,1894,Confederate Railroad,Unknown
1025,1894,Craig Morgan,Country
1286,1894,Chad Brock,Country
1757,1894,Ricochet,Country
2035,1894,Diamond Rio,Country
2098,1894,Little Texas,Country
2466,1894,McBride & the Ride,Country
2472,1894,Phil Vassar,Country
3037,1894,Luke Bryan,Country
3072,1894,Toby Keith,Country
3510,1894,Jamey Johnson,Country
3750,1894,Highway 101,Country
4410,1894,Joe Nichols,Country
5222,1894,Chris Young,Country
5334,1894,Curtis Grimes,Country
5422,1894,Cole Swindell,Country
185,1893,Shenandoah,Country
568,1893,Kenny Chesney,Country
703,1893,Boyzone,Pop/Rock
1317,1893,Shania Twain,Country
3112,1893,Brooks & Dunn,Country
3301,1893,Aaron Tippin,Country
3346,1893,The Weakerthans,Pop/Rock
3360,1893,Tim McGraw,Country
3429,1893,Brad Paisley,Country
4326,1893,Garth Brooks,Country
4439,1893,John Michael Montgomery,Country
4992,1893,Alabama,Country
5195,1892,Melanie Fiona,R&B;
433,1891,Atreyu,Pop/Rock
2950,1890,The Cave Singers,Pop/Rock
1567,1889,Funeral for a Friend,Pop/Rock
2384,1889,Matchbook Romance,Pop/Rock
2585,1889,Wolf Parade,Pop/Rock
2856,1889,The Matches,Pop/Rock
3093,1888,Brand New,Pop/Rock
4066,1888,The Get Up Kids,Pop/Rock
1854,1887,Robbie Williams,Pop/Rock
5270,1887,Future Islands,Pop/Rock
2897,1886,Modest Mouse,Pop/Rock
3606,1886,Memphis May Fire,Pop/Rock
3642,1885,Glassjaw,Pop/Rock
3785,1883,Avenged Sevenfold,Pop/Rock
3835,1883,From First to Last,Pop/Rock
3829,1880,Fountains of Wayne,Pop/Rock
4363,1880,Catch 22,Pop/Rock
4914,1880,Mogwai,Pop/Rock
3816,1879,Motionless in White,Pop/Rock
3817,1879,As Blood Runs Black,Pop/Rock
4020,1878,The Fall of Troy,Pop/Rock
3802,1877,The Black Angels,Pop/Rock
3310,1876,The Vines,Pop/Rock
